task,model,noise_type,f1_s5,clean_f1,abs_drop,retention
banfakenews,banglabert,char_delete,0.13331786756897887,0.9269758158634813,0.7936579482945024,0.1438202219383607
banfakenews,banglabert,char_insert,0.13336126940812626,0.9269758158634813,0.793614546455355,0.14386704283530824
banfakenews,banglabert,char_substitute,0.13285349714382974,0.9269758158634813,0.7941223187196516,0.1433192698992651
banfakenews,banglabert,char_transpose,0.13285319893777633,0.9269758158634813,0.794122616925705,0.14331894820149443
banfakenews,banglabert,conjunct_split,0.8336838858202767,0.9269758158634813,0.09329193004320457,0.8993588306763939
banfakenews,banglabert,elongate,0.2083379679075269,0.9269758158634813,0.7186378479559544,0.22475016536807849
banfakenews,banglabert,homophone_confuse,0.1862176984225299,0.9269758158634813,0.7407581174409514,0.20088733194087424
banfakenews,banglabert,matra_perturb,0.20009066713758794,0.9269758158634813,0.7268851487258934,0.21585316867323315
banfakenews,banglabert,whitespace_error,0.13412040008249124,0.9269758158634813,0.7928554157809901,0.14468597539144815
banfakenews,banglishbert,char_delete,0.14588250313837,0.9193774785483845,0.7734949754100144,0.1586753064352909
banfakenews,banglishbert,char_insert,0.14486221239492544,0.9193774785483845,0.774515266153459,0.15756554383260513
banfakenews,banglishbert,char_substitute,0.14811259639763583,0.9193774785483845,0.7712648821507486,0.1611009621765942
banfakenews,banglishbert,char_transpose,0.14382632370204856,0.9193774785483845,0.7755511548463359,0.15643881545710428
banfakenews,banglishbert,conjunct_split,0.6892840622819757,0.9193774785483845,0.23009341626640878,0.749729113845919
banfakenews,banglishbert,elongate,0.15257398480016796,0.9193774785483845,0.7668034937482165,0.16595358093942952
banfakenews,banglishbert,homophone_confuse,0.1632536615034079,0.9193774785483845,0.7561238170449766,0.1775697853303639
banfakenews,banglishbert,matra_perturb,0.1734163089526823,0.9193774785483845,0.7459611695957021,0.18862362087277937
banfakenews,banglishbert,whitespace_error,0.13784266025405353,0.9193774785483845,0.7815348182943309,0.14993042952465496
banfakenews,char_ngram,char_delete,0.8984785817086207,0.9471431644787676,0.04866458277014685,0.9486196125409109
banfakenews,char_ngram,char_insert,0.9234398763189726,0.9471431644787676,0.023703288159794944,0.9749739120243355
banfakenews,char_ngram,char_substitute,0.9226026695655206,0.9471431644787676,0.024540494913246946,0.9740899836121901
banfakenews,char_ngram,char_transpose,0.7723758689525297,0.9471431644787676,0.17476729552623782,0.815479536694523
banfakenews,char_ngram,conjunct_split,0.9417804463497906,0.9471431644787676,0.005362718128976929,0.9943380068292758
banfakenews,char_ngram,elongate,0.9340218622964178,0.9471431644787676,0.013121302182349748,0.9861464426134874
banfakenews,char_ngram,homophone_confuse,0.9396477504518214,0.9471431644787676,0.007495414026946201,0.9920862924338676
banfakenews,char_ngram,matra_perturb,0.9029004262896211,0.9471431644787676,0.04424273818914648,0.9532882252140898
banfakenews,char_ngram,whitespace_error,0.707846972627579,0.9471431644787676,0.23929619185118856,0.7473495023501773
