task,model,epoch,train_loss_mean,val_loss_mean,train_acc_mean,val_acc_mean,val_macro_f1_mean,val_macro_f1_std,test_acc_diag_mean,test_macro_f1_diag_mean,n_seeds
sentnob,banglabert,1,0.8480479851973589,0.659710997626895,0.6093940203675663,0.7296082209377007,0.6951142916391563,0.016132810904352965,,,3
sentnob,banglabert,2,0.6126224366631376,0.6048367228232273,0.7532436685371575,0.7495183044315992,0.7082662212403662,0.004363481997897397,,,3
sentnob,banglabert,3,0.4749258264177545,0.6284713938730914,0.8226893500786794,0.7578676942838793,0.7200069098098765,0.007618951113147967,,,3
sentnob,banglabert,4,0.3789621926101184,0.655761129495238,0.8695110002672131,0.7572254335260116,0.7207878257962889,0.00014325138091252722,,,3
sentnob,char_ngram,1,,,0.9517235236483478,0.714193962748876,0.6836909727164309,0.0,,,3
sentnob,banglishbert,1,0.8668877238448416,0.7109749120514408,0.5894718090317983,0.6876471847570113,0.6353281201901123,0.04164707450838153,,,3
sentnob,banglishbert,2,0.6335961460387943,0.6471600090565325,0.735607612600576,0.7330336116463284,0.6881999977152601,0.011856158486506379,,,3
sentnob,banglishbert,3,0.4620178192712416,0.6999018698119793,0.822778421068258,0.7375294369514022,0.6973512610772236,0.015961637628209954,,,3
sentnob,banglishbert,4,0.3366938047429435,0.7679359973693382,0.8809417772631454,0.7422393491757653,0.7076445937082104,0.010715480427830866,,,3
sentnob,xlmr,1,0.9420870620074547,0.8261872165057124,0.5503993349366111,0.6379790194819096,0.5909220259542644,0.02445866713175868,,,3
sentnob,xlmr,2,0.7693683227695743,0.7215093556715518,0.6620943558682937,0.6805823164204668,0.648198113032829,0.014595971540957932,,,3
sentnob,xlmr,3,0.6779667872931996,0.6927263647520624,0.7113209227754521,0.7090558766859344,0.6663107399138808,0.01199930179730044,,,3
sentnob,xlmr,4,0.5960505155020402,0.6978871420938141,0.7549360173391526,0.7088417897666454,0.6710197578684315,0.012375259420576837,,,3
sentnob,mbert,1,0.9387652553044834,0.7742844438877236,0.5408984293815504,0.6606722329265682,0.5905693967290023,0.01793058707357084,,,3
sentnob,mbert,2,0.7546771962305305,0.7158772355439712,0.6647664855556545,0.6906444016270606,0.649711546870089,0.0031372905441038735,,,3
sentnob,mbert,3,0.6259715202753586,0.7210339176006059,0.7374484130518689,0.6921430100620851,0.6506756004921094,0.0046470312302989885,,,3
sentnob,mbert,4,0.5191454528516967,0.7469843017811678,0.7904159615213325,0.6932134446585314,0.6627544170388003,0.001825518809375187,,,3
bd_shs,banglabert,1,0.32074137092931626,0.22627367821943226,0.8657224011323587,0.9154199082385798,0.915386680607477,0.004950654676470315,,,3
bd_shs,banglabert,2,0.1842206545497863,0.22603945224496458,0.9319159850665452,0.9196090165569518,0.9195647864120763,0.0034468575369282417,,,3
bd_shs,banglabert,3,0.1328147779340821,0.25239779250478794,0.9529197184302772,0.9167497838952058,0.9167333679181547,0.0022970262559498414,,,3
bd_shs,banglabert,4,0.0976687084731485,0.2929328756546305,0.9681239134771582,0.9162178336325553,0.9161990703250651,0.0028188954807427573,,,2
bd_shs,char_ngram,1,,,0.9695346119866622,0.9032515459804508,0.9029824776252228,0.0,,,3
bd_shs,banglishbert,1,0.3299812740719597,0.25820491598986267,0.8518624070221437,0.9060442848593656,0.9059409727634735,0.010354675887270143,,,3
bd_shs,banglishbert,2,0.18889728356724408,0.22375817698744893,0.9302250467857923,0.9150874393244233,0.9150591149113918,0.000952186281719581,,,3
bd_shs,banglishbert,3,0.12851159490217043,0.2774709150988031,0.9555511223840331,0.9139570450162909,0.9139376754404479,0.0013841321640694943,,,3
bd_shs,banglishbert,4,0.08677613547335557,0.351566423358981,0.9728879895883801,0.9140900325819535,0.9140535757776712,0.0016817976282438344,,,3
bd_shs,xlmr,1,0.3977968839210277,0.2690138180607696,0.8139587905041465,0.9052463594653899,0.9051106043926213,0.0020399954916861637,,,3
bd_shs,xlmr,2,0.24076048867730013,0.233187934348158,0.9075303751413073,0.91442250149611,0.9143267117555508,0.002308393142736941,,,3
bd_shs,xlmr,3,0.19358490817294097,0.2351250225409169,0.9260546990034862,0.9178136844205066,0.9177585667241711,0.0004886424911800417,,,3
bd_shs,xlmr,4,0.16335042869653496,0.2408244879046285,0.939069223973325,0.9164838087638806,0.9164478745713941,0.00022336874202280246,,,3
bd_shs,mbert,1,0.35398488469247535,0.2529709965560087,0.8415932818452125,0.9032515459804508,0.9030776526299212,0.0018916704653753813,,,3
bd_shs,mbert,2,0.221449653545309,0.22527639229728527,0.9165645453940932,0.913957045016291,0.9139253497172047,0.002658855229667062,,,3
